data,indice
1994-01,141.31
1994-02,198.22
1994-03,282.96
1994-04,403.73
1994-05,581.49
1994-06,857.29
1994-07,915.93
1994-08,932.97
1994-09,947.24
1994-10,972.06
1994-11,999.37
1994-12,1016.46
1995-01,1033.74
1995-02,1044.28
1995-03,1060.47
1995-04,1086.24
1995-05,1115.24
1995-06,1140.44
1995-07,1167.35
1995-08,1178.91
1995-09,1190.58
1995-10,1207.37
1995-11,1225.12
1995-12,1244.23
1996-01,1260.90
1996-02,1273.89
1996-03,1278.35
1996-04,1294.46
1996-05,1310.25
1996-06,1325.84
1996-07,1340.56
1996-08,1346.46
1996-09,1348.48
1996-10,1352.53
1996-11,1356.86
1996-12,1363.24
1997-01,1379.33
1997-02,1386.23
1997-03,1393.30
1997-04,1405.56
1997-05,1411.32
1997-06,1418.94
1997-07,1422.06
1997-08,1421.78
1997-09,1422.63
1997-10,1425.90
1997-11,1428.32
1997-12,1434.46
1998-01,1444.64
1998-02,1451.29
1998-03,1456.22
1998-04,1459.71
1998-05,1467.01
1998-06,1467.30
1998-07,1465.54
1998-08,1458.07
1998-09,1454.86
1998-10,1455.15
1998-11,1453.40
1998-12,1458.20
1999-01,1468.41
1999-02,1483.83
1999-03,1500.15
1999-04,1508.55
1999-05,1513.08
1999-06,1515.95
1999-07,1532.47
1999-08,1541.05
1999-09,1545.83
1999-10,1564.23
1999-11,1579.09
1999-12,1588.56
2000-01,1598.41
2000-02,1600.49
2000-03,1604.01
2000-04,1610.75
2000-05,1610.91
2000-06,1614.62
2000-07,1640.62
2000-08,1662.11
2000-09,1665.93
2000-10,1668.26
2000-11,1673.60
2000-12,1683.47
2001-01,1693.07
2001-02,1700.86
2001-03,1707.32
2001-04,1717.22
2001-05,1724.26
2001-06,1733.23
2001-07,1756.28
2001-08,1768.57
2001-09,1773.52
2001-10,1788.24
2001-11,1800.94
2001-12,1812.65
2003-01,1822.08
2002-02,1828.64
2002-03,1839.61
2002-04,1854.33
2002-05,1858.22
2002-06,1866.02
2002-07,1888.23
2002-08,1900.50
2002-09,1914.18
2002-10,1939.26
2002-11,1997.83
2002-12,2039.78
2003-01,2085.68
2003-02,2118.43
2003-03,2144.49
